Creation Date,Isin Code,Security Code,Status Description,Trade Date,Value Date,Transaction Type Description,Cash Account,Cash Account Currency, Quantity ,Net Amount,Net Amount currency,Transaction Price,Transaction Price Currency,Custodian Name,Security Name,Security Quotation Currency,Gross Amount,Gross Amount Currency,Total Fees Amount,Total Fees Currency,Broker Name,Commission Broker,Commission Broker Currency,Local Tax,Local Tax Currency,%fee,ctFee
08.06.2018,DE000A0HN5C6,DE000A0HN5C6,Settled,08.06.2018,01.01.1900,Change of nostro account receipt,,,19'200.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,DEUTSCHE WOHNEN SE,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE0007664039,VWPP,Settled,08.06.2018,01.01.1900,Change of nostro account receipt,,,5'600.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,VOLKSWAGEN AG-PREF,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE000A1ML7J1,DE000A1ML7J1,Settled,08.06.2018,01.01.1900,Change of nostro account receipt,,,17'300.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,VONOVIA SE,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,IE00BM67HR47,IE00BM67HR47,Settled,08.06.2018,01.01.1900,Change of nostro account receipt,,,80'000.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,DBX MSCI WORLD TELECOMMS 1C,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE000BASF111,DE000BASF111,Settled,08.06.2018,01.01.1900,Change of nostro account receipt,,,7'950.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,BASF SE,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE000BAY0017,BAYZF,Settled,08.06.2018,01.01.1900,Change of nostro account receipt,,,3'275.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,BAYER AG,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE0007236101,SI,Settled,08.06.2018,01.01.1900,Change of nostro account receipt,,,7'225.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,SIEMENS AG-REG,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE0005190003,BAMXF,Settled,08.06.2018,01.01.1900,Change of nostro account receipt,,,8'325.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,BAYERISCHE MOTOREN WERKE AG,EUR,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE0007664039,VWPP,Settled,08.06.2018,01.01.1900,Change of nostro account delivery,,,5'600.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,VOLKSWAGEN AG-PREF,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE000A0HN5C6,DE000A0HN5C6,Settled,08.06.2018,01.01.1900,Change of nostro account delivery,,,19'200.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,DEUTSCHE WOHNEN SE,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE000A1ML7J1,DE000A1ML7J1,Settled,08.06.2018,01.01.1900,Change of nostro account delivery,,,17'300.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,VONOVIA SE,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE000BASF111,DE000BASF111,Settled,08.06.2018,01.01.1900,Change of nostro account delivery,,,7'950.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,BASF SE,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE000BAY0017,BAYZF,Settled,08.06.2018,01.01.1900,Change of nostro account delivery,,,3'275.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,BAYER AG,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,IE00BM67HR47,IE00BM67HR47,Settled,08.06.2018,01.01.1900,Change of nostro account delivery,,,80'000.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,DBX MSCI WORLD TELECOMMS 1C,,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
08.06.2018,DE0005190003,BAMXF,Settled,08.06.2018,01.01.1900,Change of nostro account delivery,,,8'325.00,0,,0,,CACEIS BANK S. A. GERMANY BRANCH,BAYERISCHE MOTOREN WERKE AG,EUR,0,,0,,CACEIS BANK FRANCE,0,,0,,#DIV/0!, -   
25.05.2018,US78464A7303,XOP UP,Settled,25.05.2018,30.05.2018,Sale,LU17007S003111601USD,USD,25'500.00,1034785.59,USD,40.59,USD,BROWN BROTHERS HARRIMAN,S AND P OIL AND GAS EXPLOR ETF,USD,1035054.05,USD,255,USD,CACEIS BANK FRANCE,255,USD,0,,0.02%,0.01
14.05.2018,LU1628003706,LU1628003706,Settled,15.05.2018,18.05.2018,Subscription,LU38007S003111685EUR,EUR,9'750.39,1000000,EUR,102.56,EUR,CACEIS BANK LUXEMBOURG,T.F.C.L.S.Q C.M.F.F.O C.I.E 2D,EUR,1000000,EUR,0,EUR,CACEIS BANK LUXEMBOURG,0,,0,,0.00%, -   
25.04.2018,IE00B0M63060,IUKD IM,Settled,25.04.2018,01.01.1900,Change of depositary receipt,,,40'000.00,0,,0,,CLEARSTREAM BANKING,ISHARES UK DIVIDEND,,0,,0,,CACEIS BANK LUXEMBOURG,0,,0,,#DIV/0!, -   
25.04.2018,IE00B0M63060,IUKD IM,Settled,25.04.2018,01.01.1900,Change of depositary delivery,,,40'000.00,0,,0,,HSBC BANK PLC,ISHARES UK DIVIDEND,,0,,0,,CACEIS BANK LUXEMBOURG,0,,0,,#DIV/0!, -   
24.04.2018,FR0000130650,DSY,Settled,24.04.2018,26.04.2018,Purchase,LU38007S003111685EUR,EUR,2'675.00,290932.22,EUR,108.402,EUR,CACEIS BANK,DASSAULT SYSTEMES,EUR,289975.3,EUR,86.99,EUR,CACEIS BANK FRANCE,86.99,EUR,869.93,EUR,0.03%,0.03
24.04.2018,NL0010273215,NL0010273215,Settled,24.04.2018,26.04.2018,Purchase,LU38007S003111685EUR,EUR,2'000.00,320129.26,EUR,160.017,EUR,CACEIS BANK,ASML HOLDING NV,EUR,320033.25,EUR,96.01,EUR,CACEIS BANK FRANCE,96.01,EUR,0,,0.03%,0.05
24.04.2018,US78464A7303,XOP UP,Settled,24.04.2018,26.04.2018,Purchase,LU17007S003111601USD,USD,25'500.00,1006836.44,USD,39.474,USD,BROWN BROTHERS HARRIMAN,S AND P OIL AND GAS EXPLOR ETF,USD,1006581.44,USD,255,USD,CACEIS BANK FRANCE,255,USD,0,,0.03%,0.01
24.04.2018,AN8068571086,SLB UN,Settled,24.04.2018,26.04.2018,Sale,LU17007S003111601USD,USD,4'500.00,311411.85,USD,69.214,USD,BROWN BROTHERS HARRIMAN,SCHLUMBERGER,USD,311464.04,USD,45,USD,CACEIS BANK FRANCE,45,USD,0,,0.01%,0.01
24.04.2018,DE000BAY0017,BAYZF,Settled,24.04.2018,26.04.2018,Sale,LU38007S003111685EUR,EUR,1'600.00,156398.79,EUR,97.779,EUR,CACEIS BANK S. A. GERMANY BRANCH,BAYER AG,EUR,156445.72,EUR,46.93,EUR,CACEIS BANK FRANCE,46.93,EUR,0,,0.03%,0.03
24.04.2018,FR0010411983,SCR,Settled,24.04.2018,26.04.2018,Sale,LU38007S003111685EUR,EUR,6'000.00,212638.29,EUR,35.45,EUR,CACEIS BANK,SCOR,EUR,212702.1,EUR,63.81,EUR,CACEIS BANK FRANCE,63.81,EUR,0,,0.03%,0.01
24.04.2018,GB0002634946,BAESF,Settled,24.04.2018,26.04.2018,Sale,LU07007S003111603GBP,GBP,25'000.00,153883.57,GBP,6.157,GBP,HSBC BANK PLC,BAE SYSTEMS,GBP,153930.75,GBP,46.18,GBP,CACEIS BANK FRANCE,46.18,GBP,0,,0.03%,0
24.04.2018,GB0007980591,BPLC,Settled,24.04.2018,26.04.2018,Sale,LU07007S003111603GBP,GBP,30'000.00,159491.14,GBP,5.318,GBP,HSBC BANK PLC,BP,GBP,159540,GBP,47.86,GBP,CACEIS BANK FRANCE,47.86,GBP,0,,0.03%,0
24.04.2018,LU0274221281,XSMI GT,Settled,24.04.2018,26.04.2018,Sale,LU81007S003111605CHF,CHF,11'000.00,998500.36,CHF,90.8,CHF,"CACEIS BANK, SWITZERLAND BRANCH",DBX SWISS LargeC 1D,CHF,998800,CHF,299.64,CHF,CACEIS BANK FRANCE,299.64,CHF,0,,0.03%,0.03
24.04.2018,LU0292103651,LU0292103651,Settled,24.04.2018,26.04.2018,Sale,LU38007S003111685EUR,EUR,20'000.00,841792.91,EUR,42.102,EUR,CACEIS BANK S. A. GERMANY BRANCH,DBX STOXX600 BANKS 1C,EUR,842045.52,EUR,252.61,EUR,CACEIS BANK FRANCE,252.61,EUR,0,,0.03%,0.01
24.04.2018,NL0009434992,NL0009434992,Settled,24.04.2018,26.04.2018,Sale,LU17007S003111601USD,USD,4'500.00,489728.62,USD,108.841,USD,BROWN BROTHERS HARRIMAN,LYONDELLBASELL INDUSTRIES NV,USD,489784.93,USD,45,USD,CACEIS BANK FRANCE,45,USD,0,,0.01%,0.01
24.04.2018,US1667641005,CVX,Settled,24.04.2018,26.04.2018,Sale,LU17007S003111601USD,USD,2'900.00,361611.66,USD,124.707,USD,BROWN BROTHERS HARRIMAN,CHEVRON TEXACO,USD,361649.01,USD,29,USD,CACEIS BANK FRANCE,29,USD,0,,0.01%,0.01
24.04.2018,US2910111044,EMR,Settled,24.04.2018,26.04.2018,Sale,LU17007S003111601USD,USD,4'000.00,283201.96,USD,70.812,USD,BROWN BROTHERS HARRIMAN,EMERSON ELECTRIC,USD,283248.5,USD,40,USD,CACEIS BANK FRANCE,40,USD,0,,0.01%,0.01
24.04.2018,AN8068571086,SLB UN,Settled,24.04.2018,26.04.2018,Purchase,LU17007S003111601USD,USD,2'000.00,138493,USD,69.236,USD,BROWN BROTHERS HARRIMAN,SCHLUMBERGER,USD,138473,USD,20,USD,CACEIS BANK FRANCE,20,USD,0,,0.01%,0.01
24.04.2018,CH0012005267,NVSEF,Settled,24.04.2018,26.04.2018,Purchase,LU81007S003111605CHF,CHF,2'150.00,162760.81,CHF,75.68,CHF,"CACEIS BANK, SWITZERLAND BRANCH",NOVARTIS AG,CHF,162712,CHF,48.81,CHF,CACEIS BANK FRANCE,48.81,CHF,0,,0.03%,0.02
24.04.2018,DK0060534915,NOVOB DC,Settled,24.04.2018,26.04.2018,Purchase,LU83007S003111610DKK,DKK,10'800.00,3095541.08,DKK,286.538,DKK,DANSKE BANK A/S,NOVO NORDISK AS,DKK,3094612.7,DKK,928.38,DKK,CACEIS BANK FRANCE,928.38,DKK,0,,0.03%,0.09
23.04.2018,FR0000121329,HO,Settled,23.04.2018,25.04.2018,Sale,LU38007S003111685EUR,EUR,3'700.00,383910.39,EUR,103.791,EUR,CACEIS BANK,THALES,EUR,384025.6,EUR,115.21,EUR,CACEIS BANK FRANCE,115.21,EUR,0,,0.03%,0.03
23.04.2018,GB00B03MLX29,RDSA,Settled,23.04.2018,25.04.2018,Sale,LU38007S003111685EUR,EUR,7'600.00,219878.02,EUR,28.94,EUR,CACEIS BANK,ROYAL DUTCH SHELL - A,EUR,219944,EUR,65.98,EUR,CACEIS BANK FRANCE,65.98,EUR,0,,0.03%,0.01
23.04.2018,US58933Y1055,MRK,Settled,23.04.2018,25.04.2018,Sale,LU17007S003111601USD,USD,9'475.00,564606.96,USD,59.601,USD,BROWN BROTHERS HARRIMAN,MERCK AND,USD,564714.75,USD,94.75,USD,CACEIS BANK FRANCE,94.75,USD,0,,0.02%,0.01
23.04.2018,FR0000120628,CS FP,Settled,23.04.2018,25.04.2018,Sale,LU38007S003111685EUR,EUR,15'700.00,370280.38,EUR,23.592,EUR,CACEIS BANK,AXA,EUR,370391.5,EUR,111.12,EUR,CACEIS BANK FRANCE,111.12,EUR,0,,0.03%,0.01
23.04.2018,US1101221083,BMY UN,Settled,23.04.2018,25.04.2018,Purchase,LU17007S003111601USD,USD,9'900.00,507147.47,USD,51.217,USD,BROWN BROTHERS HARRIMAN,BRISTOL MYERS SQUIBB,USD,507048.47,USD,99,USD,CACEIS BANK FRANCE,99,USD,0,,0.02%,0.01
23.04.2018,US0382221051,AMAT,Settled,23.04.2018,25.04.2018,Purchase,LU17007S003111601USD,USD,9'900.00,505892.14,USD,51.09,USD,BROWN BROTHERS HARRIMAN,APPLIED MATERIALS,USD,505793.14,USD,99,USD,CACEIS BANK FRANCE,99,USD,0,,0.02%,0.01
23.04.2018,SE0007100599,SHBA SS,Settled,23.04.2018,25.04.2018,Purchase,LU31007S003111608SEK,SEK,43'000.00,4335043.08,SEK,100.785,SEK,SKANDINAVISKA ENSKILDA BANKEN AB,SVENSKA HANDELSBANKEN AB,SEK,4333742.96,SEK,"1,300.120",SEK,CACEIS BANK FRANCE,"1,300.120",SEK,0,,#VALUE!,#VALUE!
23.04.2018,GB00B24CGK77,RBGPF,Settled,23.04.2018,25.04.2018,Purchase,LU07007S003111603GBP,GBP,6'700.00,371248.36,GBP,55.118,GBP,HSBC BANK PLC,RECKITT BENCKISER,GBP,369290.12,GBP,110.79,GBP,CACEIS BANK FRANCE,110.79,GBP,0,,0.03%,0.02
23.04.2018,US7427181091,PGP,Settled,23.04.2018,25.04.2018,Purchase,LU17007S003111601USD,USD,4'000.00,294262.57,USD,73.556,USD,BROWN BROTHERS HARRIMAN,PROCTER AND GAMBLE,USD,294222.57,USD,40,USD,CACEIS BANK FRANCE,40,USD,0,,0.01%,0.01
24.04.2018,IE00B0M63060,IUKD IM,Settled,23.04.2018,25.04.2018,Sale,LU07007S003111603GBP,GBP,61'000.00,543330,GBP,8.91,GBP,CLEARSTREAM BANKING,ISHARES UK DIVIDEND,GBP,543495.3,GBP,163.05,GBP,CACEIS BANK FRANCE,163.05,GBP,0,,0.03%,0
23.04.2018,US4878361082,K,Settled,23.04.2018,25.04.2018,Purchase,LU17007S003111601USD,USD,4'000.00,241766.86,USD,60.432,USD,BROWN BROTHERS HARRIMAN,KELLOGG,USD,241726.86,USD,40,USD,CACEIS BANK FRANCE,40,USD,0,,0.02%,0.01
23.04.2018,US3703341046,GIS,Settled,23.04.2018,25.04.2018,Purchase,LU17007S003111601USD,USD,5'100.00,225620.5,USD,44.229,USD,BROWN BROTHERS HARRIMAN,GENERAL MILLS,USD,225569.5,USD,51,USD,CACEIS BANK FRANCE,51,USD,0,,0.02%,0.01
23.04.2018,US7475251036,QCOM UW,Settled,23.04.2018,25.04.2018,Purchase,LU17007S003111601USD,USD,5'700.00,290738.64,USD,50.997,USD,BROWN BROTHERS HARRIMAN,QUALCOMM,USD,290681.64,USD,57,USD,CACEIS BANK FRANCE,57,USD,0,,0.02%,0.01
23.04.2018,US60871R2094,TAP,Settled,23.04.2018,25.04.2018,Purchase,LU17007S003111601USD,USD,2'800.00,199469.34,USD,71.229,USD,BROWN BROTHERS HARRIMAN,MOLSONORS BREWING,USD,199441.34,USD,28,USD,CACEIS BANK FRANCE,28,USD,0,,0.01%,0.01
06.03.2018,DE0007100000,LER,Settled,06.03.2018,08.03.2018,Purchase,LU38007S003111685EUR,EUR,3'000.00,203156.93,EUR,67.699,EUR,CACEIS BANK S. A. GERMANY BRANCH,DAIMLER AG-REGISTERED SHARES,EUR,203096,EUR,60.93,EUR,CACEIS BANK FRANCE,60.93,EUR,0,,0.03%,0.02
01.03.2018,NL0011794037,NL0011794037,Settled,01.03.2018,05.03.2018,Sale,LU38007S003111685EUR,EUR,700,12855.8,EUR,18.394,EUR,CACEIS BANK,KONINKLIJKE AHOLD DELHAIZE N,EUR,12875.8,EUR,20,EUR,CACEIS BANK FCE AGENT DE NEGO/EXE,20,EUR,0,,0.16%,0.03
07.02.2018,FR0000120172,CA,Settled,07.02.2018,09.02.2018,Sale,LU38007S003111685EUR,EUR,30'000.00,550201.78,EUR,18.346,EUR,CACEIS BANK,CARREFOUR,EUR,550366.89,EUR,165.11,EUR,CACEIS BANK FRANCE,165.11,EUR,0,,0.03%,0.01
07.02.2018,FR0000121329,HO,Settled,07.02.2018,09.02.2018,Purchase,LU38007S003111685EUR,EUR,2'400.00,208912.33,EUR,86.76,EUR,CACEIS BANK,THALES,EUR,208225.18,EUR,62.47,EUR,CACEIS BANK FRANCE,62.47,EUR,624.68,EUR,0.03%,0.03
07.02.2018,DE0007100000,LER,Settled,07.02.2018,09.02.2018,Purchase,LU38007S003111685EUR,EUR,1'150.00,80519.87,EUR,69.996,EUR,CACEIS BANK S. A. GERMANY BRANCH,DAIMLER AG-REGISTERED SHARES,EUR,80495.72,EUR,24.15,EUR,CACEIS BANK FRANCE,24.15,EUR,0,,0.03%,0.02
07.02.2018,GB00BDSFG982,GB00BDSFG982,Settled,07.02.2018,09.02.2018,Sale,LU38007S003111685EUR,EUR,20'000.00,506241.44,EUR,25.32,EUR,CACEIS BANK,TECHNIPFMC PLC,EUR,506393.36,EUR,151.92,EUR,CACEIS BANK FRANCE,151.92,EUR,0,,0.03%,0.01
07.02.2018,FR0010411983,SCR,Settled,07.02.2018,09.02.2018,Purchase,LU38007S003111685EUR,EUR,10'000.00,349230.5,EUR,34.808,EUR,CACEIS BANK,SCOR,EUR,348081.83,EUR,104.42,EUR,CACEIS BANK FRANCE,104.42,EUR,"1,044.250",EUR,0.03%,0.01
08.02.2018,FR0000121964,FR0000121964,Settled,07.02.2018,09.02.2018,Purchase,LU38007S003111685EUR,EUR,13'000.00,440190.44,EUR,33.749,EUR,CACEIS BANK,KLEPIERRE,EUR,438742.59,EUR,131.62,EUR,CACEIS BANK FRANCE,131.62,EUR,"1,316.230",EUR,0.03%,0.01
07.02.2018,DE000A1ML7J1,DE000A1ML7J1,Settled,07.02.2018,09.02.2018,Purchase,LU38007S003111685EUR,EUR,3'500.00,128136.07,EUR,36.599,EUR,CACEIS BANK S. A. GERMANY BRANCH,VONOVIA SE,EUR,128097.64,EUR,38.43,EUR,CACEIS BANK FRANCE,38.43,EUR,0,,0.03%,0.01
07.02.2018,DE000A0HN5C6,DE000A0HN5C6,Settled,07.02.2018,09.02.2018,Purchase,LU38007S003111685EUR,EUR,12'000.00,395476.49,EUR,32.946,EUR,CACEIS BANK S. A. GERMANY BRANCH,DEUTSCHE WOHNEN SE,EUR,395357.88,EUR,118.61,EUR,CACEIS BANK FRANCE,118.61,EUR,0,,0.03%,0.01
08.02.2018,US0382221051,AMAT,Canceled,06.02.2018,08.02.2018,Sale,LU17007S003111601USD,USD,7'850.00,386390.11,USD,49.233,USD,BROWN BROTHERS HARRIMAN,APPLIED MATERIALS,USD,386477.54,USD,78.5,USD,CACEIS BANK FRANCE,78.5,USD,0,,0.02%,0.01
08.02.2018,US0382221051,AMAT,Canceled,06.02.2018,08.02.2018,Sale,LU17007S003111601USD,USD,7'850.00,386390.11,USD,49.233,USD,BROWN BROTHERS HARRIMAN,APPLIED MATERIALS,USD,386477.54,USD,78.5,USD,CACEIS BANK FRANCE,78.5,USD,0,,0.02%,0.01
08.02.2018,US0382221051,AMAT,Canceled,06.02.2018,08.02.2018,Sale,LU17007S003111601USD,USD,7'850.00,386390.11,USD,49.233,USD,BROWN BROTHERS HARRIMAN,APPLIED MATERIALS,USD,386477.54,USD,78.5,USD,CACEIS BANK FRANCE,78.5,USD,0,,0.02%,0.01
07.02.2018,VGG607541015,VGG607541015,Settled,06.02.2018,08.02.2018,Sale,LU17007S003111601USD,USD,10'000.00,652880.54,USD,65.3,USD,BROWN BROTHERS HARRIMAN,MICHAEL KORS,USD,652995.62,USD,100,USD,CACEIS BANK FRANCE,100,USD,0,,0.02%,0.01
07.02.2018,US5128071082,LRCX,Settled,06.02.2018,08.02.2018,Sale,LU17007S003111601USD,USD,4'000.00,699455.14,USD,174.878,USD,BROWN BROTHERS HARRIMAN,LAM RESEARCH,USD,699511.3,USD,40,USD,CACEIS BANK FRANCE,40,USD,0,,0.01%,0.01
07.02.2018,US4824801009,KLAC,Settled,06.02.2018,08.02.2018,Sale,LU17007S003111601USD,USD,5'250.00,535103.52,USD,101.937,USD,BROWN BROTHERS HARRIMAN,KLA TENCOR,USD,535168.38,USD,52.5,USD,CACEIS BANK FRANCE,52.5,USD,0,,0.01%,0.01
07.02.2018,US00287Y1091,US00287Y1091,Settled,06.02.2018,08.02.2018,Sale,LU17007S003111601USD,USD,3'700.00,402628.7,USD,108.831,USD,BROWN BROTHERS HARRIMAN,ABBVIE,USD,402675,USD,37,USD,CACEIS BANK FRANCE,37,USD,0,,0.01%,0.01
07.02.2018,US5949181045,MSFT,Settled,06.02.2018,08.02.2018,Purchase,LU17007S003111601USD,USD,5'100.00,453288.89,USD,88.87,USD,BROWN BROTHERS HARRIMAN,MICROSOFT,USD,453237.89,USD,51,USD,CACEIS BANK FRANCE,51,USD,0,,0.01%,0.01
07.02.2018,US46625H1005,JPMC,Settled,06.02.2018,08.02.2018,Purchase,LU17007S003111601USD,USD,3'100.00,342767,USD,110.56,USD,BROWN BROTHERS HARRIMAN,JP MORGAN CHASE AND,USD,342736,USD,31,USD,CACEIS BANK FRANCE,31,USD,0,,0.01%,0.01
07.02.2018,US30231G1022,SJ,Settled,06.02.2018,08.02.2018,Purchase,LU17007S003111601USD,USD,5'000.00,400631.24,USD,80.116,USD,BROWN BROTHERS HARRIMAN,EXXON MOBIL,USD,400581.24,USD,50,USD,CACEIS BANK FRANCE,50,USD,0,,0.01%,0.01
07.02.2018,US0382221051,AMAT,Settled,06.02.2018,08.02.2018,Sale,LU17007S003111601USD,USD,7'850.00,386390.11,USD,49.233,USD,BROWN BROTHERS HARRIMAN,APPLIED MATERIALS,USD,386477.54,USD,78.5,USD,CACEIS BANK FRANCE,78.5,USD,0,,0.02%,0.01
16.01.2018,CH0012221716,ABLZF,Settled,16.01.2018,18.01.2018,Sale,LU81007S003111605CHF,CHF,13'200.00,356820.92,CHF,27.04,CHF,"CACEIS BANK, SWITZERLAND BRANCH",ABB LTD,CHF,356928,CHF,107.08,CHF,CACEIS BANK FRANCE,107.08,CHF,0,,0.03%,0.01
15.01.2018,SE0000103699,HXGBF,Settled,15.01.2018,17.01.2018,Sale,LU31007S003111608SEK,SEK,5'350.00,2455032.55,SEK,459.022,SEK,SKANDINAVISKA ENSKILDA BANKEN AB,HEXAGON AB,SEK,2455769.28,SEK,736.73,SEK,CACEIS BANK FRANCE,736.73,SEK,0,,0.03%,0.14
15.01.2018,GB0002634946,BAESF,Settled,15.01.2018,17.01.2018,Sale,LU07007S003111603GBP,GBP,75'000.00,442884.04,GBP,5.907,GBP,HSBC BANK PLC,BAE SYSTEMS,GBP,443017.95,GBP,132.91,GBP,CACEIS BANK FRANCE,132.91,GBP,0,,0.03%,0
15.01.2018,DE0007664039,VWPP,Settled,15.01.2018,17.01.2018,Sale,LU38007S003111685EUR,EUR,2'800.00,502518.87,EUR,179.525,EUR,CACEIS BANK S. A. GERMANY BRANCH,VOLK AKTI PREF,EUR,502669.67,EUR,150.8,EUR,CACEIS BANK FRANCE,150.8,EUR,0,,0.03%,0.05
15.01.2018,GB0007980591,BPLC,Settled,15.01.2018,17.01.2018,Sale,LU07007S003111603GBP,GBP,30'000.00,159680.65,GBP,5.324,GBP,HSBC BANK PLC,BP,GBP,159729.57,GBP,47.92,GBP,CACEIS BANK FRANCE,47.92,GBP,0,,0.03%,0
15.01.2018,FR0000121972,SU FP,Settled,15.01.2018,17.01.2018,Sale,LU38007S003111685EUR,EUR,3'200.00,239169.53,EUR,74.763,EUR,CACEIS BANK,SCHNEIDER ELECTRIC,EUR,239241.3,EUR,71.77,EUR,CACEIS BANK FRANCE,71.77,EUR,0,,0.03%,0.02
07.12.2017,US1729674242,US1729674242,Settled,06.12.2017,08.12.2017,Purchase,LU17007S003111601USD,USD,2'900.00,221139.5,USD,76.245,USD,BROWN BROTHERS HARRIMAN,CITIGROUP,USD,221110.5,USD,29,USD,CACEIS BANK FRANCE,29,USD,0,,0.01%,0.01
